fin	feature	left_context	kwic	right_context
kell	FIN INF		Kell magának olyan messzire strabancolni	?...
kell	FIN INF		Kellett volna lennie	.
kell	FIN INF		Kell mennie	.
kell	FIN INF		Kéne árulni	...
kell	FIN INF		Kell itt hátsó bejáratnak is lennie	.
kell	FIN INF		Kellett volna valami plédet is hoznom	magammal.
kell	FIN INF		Kell erőt szereznem	magamba.
kell	FIN INF		Kell nekünk sietni	muszáj...
kell	FIN INF	-	Kéne kezdeni	valamit ezzel a kürtővel...
kell	FIN INF		Kéne inni	egy sört.
kell	FIN INF		Kéne kérni	idei galoppnaptárat a Johanna Baetz-től.
kell	FIN INF		Kellene nekem is írnom	...
kell	FIN INF		Kell írnom	Gadányiról is Győrbe stb.
kell	FIN INF		Kell történnie	valaminek.
kell	FIN INF		Kellett volna hagyni	...
kell	FIN INF		Kell valamit csinálni	.
kell	FIN INF		Kéne innom	.
kell	FIN INF		Kéne járnom	nyelvtanfolyamra ide.
kell	FIN INF		Kellett volna játszani	.
kell	FIN INF		Kéne ebédelni	.
kell	FIN INF		Kell szereznem	rendes géppapírt.
kell	FIN INF		Kellene egy kicsit jobban élvezni	a bajnokságot.
kell	FIN INF		Kéne készülni	rá.
kell	FIN INF		Kell lennie	annak.
kell	FIN INF		Kellett is azt nekem mondani	.
kell	FIN INF		Kell adnom	itt ízelítőt ezeknek a táv-eszmefuttatásoknak lefolyásáról és jellegéről.
kell	FIN INF		Kell szólni	az informatikáról.
kell	FIN INF		Kéne egypár szót szólnunk	a bővítésről.
kell	FIN INF		Kell még tovább küzdeni	.
kell	FIN INF		Kell tartaniuk	egy önvizsgálatot.
kell	FIN INF		Kellene lenni	egy harmadik ellenőrzésnek is: ez a szakmai ellenőrzés.
kell	FIN INF		Kell szólni	a dohányzás és a passzívdohányzás egészségkárosító hatásainak statisztikai adatairól is.
kell	FIN INF		Kéne venni	egy hasonlót...
kell	FIN INF		Kéne a jövő szezonban szervezni	egy virtuális fogadási játékot.
kell	FIN INF		Kellett lennie	átmenetnek.
kell	FIN INF		Kéne készíteni	valami kaját magamnak.
kell	FIN INF		Kell egyszerre írni	.
kell	FIN INF		Kellene egy exkluziv riportot csinalni	a TV-ben.
kell	FIN INF		Kell keriteni	egy elég nagy glimm lámpát.
kell	FIN INF		Kell egy BusThrottle string kulcs-ot csinálni	és értéket 1-re állítani.
kell	FIN INF		Kell nyitni	egy cukkolós topicot.
kell	FIN INF		Kellene egy úgy fejet venni	...
kell	FIN INF		Kell egy kis színt vinni	a lapos liberál-soviniszta-bolsevik-konzervatív vitákba...
kell	FIN INF		Kellet nekem késő este úgy dönteni	hogy belehablatyolok.
kell	FIN INF		Kellet nekem szólni	....
kell	FIN INF		Kell tudni	.
kell	FIN INF		Kéne találni	valami megfelelőt a TV-nek.
kell	FIN INF		Kellett neked gyiloknak születni	...
kell	FIN INF		Kellett nekem honi emilcimet hasznalni	...
kell	FIN INF		Kellet csinálni	egy új játékot.
kell	FIN INF		Kéne tartani	egy névsorolvasást ki van itt...
kell	FIN INF		Kellet nekem jótanácsokat adni	.
kell	FIN INF		Kellett a “ független bíróságnak “ engedni	az előző kormány politikai akaratának.
kell	FIN INF		Kellett nekem a szomorkodásról beszélni	tegnap.
kell	FIN INF		Kell kommunikálni	is.
kell	FIN INF		Kell e adakozni	.
kell	FIN INF		Kéne ebben a topicban propagálni	...
kell	FIN INF		Kellett nekem rádiót hallgatni	.
kell	FIN INF		Kéne szerezni	egy ilyen “ ipari “ VAPE szúnyogölőt.
kell	FIN INF		Kell valamit csinálni	a száddal.
kell	FIN INF		Kellene nyitnom	egy másik topicot “ Aki szereti xy-t “ -címmel.
kell	FIN INF		Kellett nekemitta tüzesvizeta falra festenem	.
kell	FIN INF		Kellett nekem bíztatni	Prezident barátomat.
kell	FIN INF		Kéne nekik irni	hóügyben....
kell	FIN INF		Kéne írni	1-2 helyre.
kell	FIN INF		Kellene valami kepet osszeallitani	neki.
kell	FIN INF		Kellene szervezni	egy találkozót az opeleseknek.
kell	FIN INF		Kell lennie	a befogadón és az alkotón kívűl legalább még egy tényezőnek ami befolyásolja egymáshoz való viszonyulásukat.
kell	FIN INF		Kéne látni	az eredeti szöveget hogy tudjuk mit fordítottak így le.
kell	FIN INF		Kéne nyitni	egy redőr maffi topicot.
kell	FIN INF		Kellett volna forintösszeget utalni	egy cégnek Maora.
kell	FIN INF		Kéne tenni	egy próbát.
kell	FIN INF		Kell kompromisszumokat kötni	.
kell	FIN INF		Kellett ám taktikázni	.
kell	FIN INF		Kéne vennem	a motorhoz ezt-azt....
kell	FIN INF		Kéne màr bulizni	egyet.
kell	FIN INF		Kell választási csalástól félni	.
kell	FIN INF		Kell mondanom	valamit.......
kell	FIN INF		Kellene már végre egyszer saját majonézt csinálni	....
kell	FIN INF		Kellene szereznem	ures HB zacsikat es mar nyomhatnam is meg a ceruzat.
kell	FIN INF		Kell hagyni	más troll számára is eleséget....
kell	FIN INF		Kell nektek ilyen helyekre járni	.
kell	FIN INF		Kellett ezzel viccelődni	........
kell	FIN INF		Kell cselekednünk	.
kell	FIN INF		Kellene egy kicsit faragni	rajta.
kell	FIN INF		Kellene már keresnie	a DK-nak egy kommunikációs szakembert.
kell	FIN INF		Kéne is egy kényelmes melltartót vennem	.
kell	FIN INF		Kell lennie	.
kell	FIN INF		Kell és sikerülni	fog nektek.
kell	FIN INF		Kellene valami never valasztani	a klannak.
kell	FIN INF		Kellene egy földrészt alapítani	“ Normálisok “ néven.
kell	FIN INF		Kellett itt örülnöm	.
kell	FIN INF		Kéne is szerezni	egy Euskaltel mezt emlékbe.
kell	FIN INF		Kellett neked olyan messze menni	...
kell	FIN INF		Kéne üzemanyagnyomást mérni	stb.
kell	FIN INF		Kellett mindjárt hozzájuk nyúlni	.
kell	FIN INF		Kellene vmi sütit sütni	...
kell	FIN INF		Kellett volna egy szmájlit tennem	a végére...
kell	FIN INF		Kellett volna hagyni	kifutni.
kell	FIN INF		Kellene készíteni	.
kell	FIN INF	-	Kellett neked annyit inni	...
kell	FIN INF		Kell még ezen gondolkodni	.
kell	FIN INF		Kellett volna csokit rakni	.
kell	FIN INF		Kéne menni	aludni.
kell	FIN INF		Kéne menni aludni	.
kell	FIN INF		Kellett volna lenniük	.
kell	FIN INF		Kell vennem	egy ilyen ruhát.
kell	FIN INF		Kell tőlük kérni	.
kell	FIN INF	-	Kell lennie	magán egy feliratnak.
kell	FIN INF		Kell neked fos tdm-re menni	..
kell	FIN INF		Kéne rendelni	tőlük Heller Ágnes feliratút.
kell	FIN INF		Kellene már odafenn egy alapos nagytakarítást végezni	.
kell	FIN INF		Kéne találni	egy nőt.
kell	FIN INF		Kell lenie	egy olyan szélnek ahol két hajtás fut egymás mellett.
kell	FIN INF		KELL MOSNI	.
kell	FIN INF		Kellene csinálnom	ilyent...
kell	FIN INF		Kell vennem	egy sötétkék kaucsuk csatot vennem az órámra mert a fehér kezd elszíneződni.
kell	FIN INF		Kell vennem	bérletet...
kell	FIN INF		Kell lennie	.
kell	FIN INF		Kéne lennünk	...
kell	FIN INF		Kellett neki órát rajzolni	és 15 percenként beírni hogy 0,25.
kell	FIN INF		Kéne egyet cigiznem	azt hiszem.
kell	FIN INF		Kell venni	egy Abarthot és nincs gond.
kell	FIN INF		Kellett volna inkább zongoráznom	.
kell	FIN INF		Kellene használni	a hófogókat és az sokat segítene a közlekedőknek.
kell	FIN INF		Kell ám fizetni	az ájtatosmanók szavazatáért.
kell	FIN INF	“	Kell csinálni	pár hasonló lakóhajót “ Ezt már körbejártam egyszer: sajnos a vizen lakásnál maga a lakóhajó a legkisebb tétel.
kell	FIN INF		Kéne applikálni bele	egy 2.8 V6-ot vagy egy 1.8t-t.
kell	FIN INF		Kell venni	egyet aztán lemásolni.
kell	FIN INF		Kell nekem ilyen videókat nézni	...
kell	FIN INF		Kéne már Magyarországért is tenni	valamit a hátralévő napokban.
kell	FIN INF		Kéne sütnöm	valamit.
kell	FIN INF		Kéne egy vizsgálatot végezni	azon lakásokban ahol jobb és bal kezesek is laknak......
kell	FIN INF		Kell egy kis inger az ilyet végig nézni	.
kell	FIN INF		Kellene valami ebédet készíteni	.
kell	FIN INF		Kéne ének- és beszédtanárhoz járnia	pár évet.
kell	FIN INF		Kellene venned	egy roncsot és abból kimenteni.
kell	FIN INF		Kéne szerezned	egy kölcsön tápot.
kell	FIN INF		Kell egy kis időt szánnom	a youtubeon turkálásra...
kell	FIN INF		Kéne csinálni	egy ilyen 2013-as évösszegző popzenés mashupot.
kell	FIN INF		Kéne tanulnom	a holnapi kémia és föci dolgozatomra.
kell	FIN INF		Kell hordani	magánál.
kell	FIN INF		Kell -e mondanom	: azóta munkát keres.
kell	FIN INF		Kell lennie	más okoknak is a bírálaton.
kell	FIN INF		Kellett is időben lépni	.
kell	FIN INF		Kell tudni	szelektálni.
kell	INF FIN		Mennie kell	a generális beiktatására.
kell	INF FIN		Irni kell	mindjárt Őfelségének és ajánlani kell a határőrség megszervezésére az altábornagyot.
kell	INF FIN		Szólnunk kell	még a kiszehajtás tágabb palócföldi motívumainak összevetéséről is.
kell	INF FIN	-	Mennem kell	.
kell	INF FIN	-	Telefonálnom kell	.
kell	INF FIN		Csalódnom kellett	.
kell	INF FIN	-	Okádnom kell	ettől a nőtől.
kell	INF FIN		Csalódnom kellett	.
kell	INF FIN	-	Telefonálnom kell	.
kell	INF FIN	-	Tudnod kell	.
kell	INF FIN		Innia kellett	.
kell	INF FIN		Ütnie kell	és gyilkosnak kell majd lennie.
kell	INF FIN		Sietni kell	.
kell	INF FIN		Sietnie kellett	.
kell	INF FIN		Sietnem kellett	a vonatra.
kell	INF FIN		Küszködnöm kell	néha a vágyaimmal.
kell	INF FIN		Fogynia kellene	.
kell	INF FIN		Kérdezősködni kellett	volna.
kell	INF FIN	-	Segítened kell	...
kell	INF FIN		Felejtenem kellett	volna.
kell	INF FIN		Emlékeznem kellene	a történésekre.
kell	INF FIN		Mennie kell	.
kell	INF FIN		Mennie kellett	volna.
kell	INF FIN		Léteznie kell	valamilyen konkrét bizonyosságnak.
kell	INF FIN		Mennie kell	.
kell	INF FIN		Mennie kellett	.
kell	INF FIN		Mennie kellett	.
kell	INF FIN		Mennie kell	.
kell	INF FIN		Mennem kell	...
kell	INF FIN	-	Mennem kell	.
kell	INF FIN	-	Tisztelnünk kell	egymást.
kell	INF FIN		Hinni kell	a katarzisban.
kell	INF FIN		Dolgozni kellett	a terjesztőhálózat kiépítéséért is.
kell	INF FIN		Vigyáznom kellett	magamra.
kell	INF FIN		Vigyáznom kell	magamra.
kell	INF FIN		Szarnom kellett	.
kell	INF FIN	-	Mennem kell	.
kell	INF FIN		Magyarázkodnom kellett	.
kell	INF FIN		Ismernünk kell	tájukat is.
kell	INF FIN		Titkolni kellett	a betűt.
kell	INF FIN		Szavalnom kellett	valami verset valamilyen ünnepélyen.
kell	INF FIN		Képeznem kell	magamat.
kell	INF FIN		Ismernie kell	Kőszegi Frigyest.
kell	INF FIN		Köszönni kellett	volna neki.
kell	INF FIN		Hirdetni kell	és továbbra sincs...
kell	INF FIN		Szűkíteni kell	a témát.
kell	INF FIN		Járkálnom kellet	.
kell	INF FIN		Alkalmazkodni kell	hozzá.
kell	INF FIN		Dolgozni kell	.
kell	INF FIN	-	Segítenünk kellene	az önképzésben.
kell	INF FIN		Pucolni kellett	aztán.
kell	INF FIN		Beszélnem kell	még a falakról.
kell	INF FIN		Élni kell	.
kell	INF FIN	-	Enned kellene	.
kell	INF FIN		Gondolnom kell	rájuk...
kell	INF FIN	-	Rendeznem kellene	a Janus Pannonius Társaság iratait is.
kell	INF FIN	-	Inni kell	...
kell	INF FIN		Etetnem csak kell	valamiből?...
kell	INF FIN		Beszélnem kell	magával.
kell	INF FIN		Gondolkodnom kell	egy kicsit...
kell	INF FIN		Mondani kell	neki.
kell	INF FIN		Mondanom kell	neki valami fontosat.
kell	INF FIN		Edzenem kell	...
kell	INF FIN		Győznöm kell	...
kell	INF FIN		Ellenőrizni kellene	a lábmunkámat...
kell	INF FIN		Dolgoznom kell	.
kell	INF FIN		Innom kellett	volna a banketton.
kell	INF FIN		Inni kellene	...
kell	INF FIN		Harcolni kell	.
kell	INF FIN		Várni kell	még...
kell	INF FIN		Gyakorolni kellene	az ilyent...
kell	INF FIN		Élni is kell	valamiből...
kell	INF FIN		Sietnem kellene	...
kell	INF FIN	-	Találkozni kellene	.
kell	INF FIN		Ennem kell	valahol valamit.
kell	INF FIN		Ennem kell	valahol valamit...
kell	INF FIN		Csinálni kellene	valamit.
kell	INF FIN		Főznöm is kellene	...
kell	INF FIN		Szeretni kell	a sört.
kell	INF FIN	-	Menni kell	...
kell	INF FIN		Tanítani kellene	ezt az általános iskolában...
kell	INF FIN		Szeretned kell	.
kell	INF FIN		Figyelni kell	az időt...
kell	INF FIN		Röhögnöm kell	.
kell	INF FIN		Telefonálni kellene	anyuéknak.
kell	INF FIN		Pihenned kell	.
kell	INF FIN	-	Takarítanom kell	.
kell	INF FIN		Pihennem kellene	egy kicsit.
kell	INF FIN		Fellebbezni kellett	volna.
kell	INF FIN	-	Tudnom kellene	.
kell	INF FIN		Hinni kell	valamiben.
kell	INF FIN		Nevetnem kell	.
kell	INF FIN		Beszélnem kell	vele.
kell	INF FIN		Tenni kell	valamit...
kell	INF FIN		Értesíteni kell	a vállalatot...
kell	INF FIN		Kezdenem kell	a próbát.
kell	INF FIN		Szólni kell	a rendőrségnek.
kell	INF FIN		Fertőtleníteni kell	mindent.
kell	INF FIN		Röhögnöm kell	...
kell	INF FIN		Röhögnöm kell	.
kell	INF FIN		Szólni kellene	a főnővérnek is...
kell	INF FIN		Támaszkodnod kell	valakire.
kell	INF FIN		Élni viszont kellett	valamiből.
kell	INF FIN		Korlátozni kellene	a nyugati motorcsónakok száguldozásait is.
kell	INF FIN		Bízni kell	...
kell	INF FIN	-	Bírni kell	.
kell	INF FIN		Vállalnod kell	az én nevemben is.
kell	INF FIN	-	Fociznod kellene	újra.
kell	INF FIN	-	Ennünk kellene	...
kell	INF FIN	-	Sikerülni köll	...
kell	INF FIN	-	Takarítanom kell	.
kell	INF FIN		Pihenned kell	.
kell	INF FIN		Telefonálni kellene	anyuéknak.
kell	INF FIN		Pihennem kellene	egy kicsit.
kell	INF FIN		Társulni kell	.
kell	INF FIN	-	Mozdulni kellene	...
kell	INF FIN		Kérdezni kell	.
kell	INF FIN		Spórolni kell	vele.
kell	INF FIN		Mondani kell	valamit.
kell	INF FIN		Dolgozni kell	.
kell	INF FIN		Akklimatizálódnom kell	a körülményekhez.
kell	INF FIN		Kérdezni kell	.
kell	INF FIN		Jelentkeznem kellett	volna a bölcsészetre...
kell	INF FIN		Kérdezősködnöm kellene	...
kell	INF FIN		Vigyázni kell	az életre...
kell	INF FIN		Döntenem mindig nekem kell	...
kell	INF FIN	-	Mennünk kell	.
kell	INF FIN		Napoznom kell	.
kell	INF FIN		Mosolyognom kell	.
kell	INF FIN		Viselkednem kellene	.
kell	INF FIN		Félni kellene	.
kell	INF FIN		Cselekedni kell	.
kell	INF FIN		Várni kellene	.
kell	INF FIN		Hagyni kell	őket játszani.
kell	INF FIN		Hallgatnod kell	nyűgös dörmögéseimet.
kell	INF FIN	-	Tudnia kell	.
kell	INF FIN		Beszélnie kell	vele.
kell	INF FIN		Nézni kell	.
kell	INF FIN		Mennie kell	.
kell	INF FIN		Mennem kellett	.
kell	INF FIN	-	Menned kell	a mosodába.
kell	INF FIN		Ügyelnem kell	magamra.
kell	INF FIN		Mozogni is kell	egy kicsit.
kell	INF FIN		Nézni kell	.
kell	INF FIN		Beszélnem kell	vele.
kell	INF FIN	-	Inni kellene	most valamit.
kell	INF FIN	-	Menned kell	a mosodába.
kell	INF FIN		Nézni kell	.
kell	INF FIN		Mennie kell	.
kell	INF FIN		Mennem kellett	.
kell	INF FIN		Menni kellett	.
kell	INF FIN		Képzelődni kellett	.
kell	INF FIN		Beszélnem kell	még a falakról.
kell	INF FIN		Óvakodni kell	tehát minden zavaró körülménytől.
kell	INF FIN		Kukorékolni kéne	ettől az együgyű sorscsapástól.
kell	INF FIN	-	Szólni kellene	nekik.
kell	INF FIN		Folytatnom kellett	az olvasást.
kell	INF FIN		Alkalmazkodni ehhez kellett	.
kell	INF FIN		Nevetnem kellett	a kiszolgáltatottságukon.
kell	INF FIN		Mosolyogni kell	ezen a természetelvű logikán.
kell	INF FIN		Menni kellett	.
kell	INF FIN		Képzelődni kellett	.
kell	INF FIN		Látni kellett	volna Matuskát.
kell	INF FIN		Emlékeznem kellett	életem lírai tapasztalatára: számomra mindig a gyalázat és a katasztrófa teremtett tiszta esélyt a megmaradáshoz.
kell	INF FIN		Vizsgáznunk kellett	mindenből.
kell	INF FIN		Fordulnunk kellene	.
kell	INF FIN		Óvakodni kell	tehát minden zavaró körülménytől.
kell	INF FIN		Kukorékolni kéne	ettől az együgyű sorscsapástól.
kell	INF FIN	-	Szólni kellene	nekik.
kell	INF FIN		Folytatnom kellett	az olvasást.
kell	INF FIN		Alkalmazkodni ehhez kellett	.
kell	INF FIN		Nevetnem kellett	a kiszolgáltatottságukon.
kell	INF FIN		Mosolyogni kell	ezen a természetelvű logikán.
kell	INF FIN		Menni kellett	.
kell	INF FIN		Képzelődni kellett	.
kell	INF FIN		Látni kellett	volna Matuskát.
kell	INF FIN		Emlékeznem kellett	életem lírai tapasztalatára: számomra mindig a gyalázat és a katasztrófa teremtett tiszta esélyt a megmaradáshoz.
kell	INF FIN		Fejlődni köll	a világnak.
kell	INF FIN		Szórnom röpcédulát a szélbe kéne	.
kell	INF FIN		Muzsikálni kellene	a haldoklóknak.
kell	INF FIN		Vállalnod kell	az asszonyok istenének prófétaságát.
kell	INF FIN	-	Vigyáznom kell	rá.
kell	INF FIN	-	Vennünk kell	két üveg tintát.
kell	INF FIN	-	Mennem kell	.
kell	INF FIN		Festeni is kellene	.
kell	INF FIN		Mosolyognom kell	.
kell	INF FIN		Szeretnünk kell	az erdőt.
kell	INF FIN		Találkoznunk kell	tehát.
kell	INF FIN		Maradni kell	.
kell	INF FIN		Enni kell	.
kell	INF FIN		Dolgozni kell	az ünnepség alatt is.
kell	INF FIN		Haladnia kellett	.
kell	INF FIN		Cselekednem kellett	.
kell	INF FIN		Szökniük kellett	Leopoldville-ből.
kell	INF FIN		Keresni kellett	...
kell	INF FIN		Folytatni kell	.
kell	INF FIN		Bűnhődni kell	.
kell	INF FIN		Építeni kell	a nyelvet sokféleként.
kell	INF FIN		Örvendeznünk kellene	.
kell	INF FIN		Bővítenünk kell	a nemzetiségvédelem határait.
kell	INF FIN		Élnünk kell	az alternatív törvényjavaslatok kidolgozásának és megvitatásának lehetőségeivel.
kell	intervening		Meg kell mondaniok	az igazat és a vallomásuk eldönti Csík sorsát is.
kell	intervening		Meg kellett állania	.
kell	intervening		Le kell számolniok	a multtal.
kell	intervening		Fel kellene hívni	valakit...
kell	intervening	-	Meg kell tőled bolondulni	.
kell	intervening		Meg kell várnunk	azt az időt.
kell	intervening		Be kell vinni	.
kell	intervening		Ki kellene végre tárni	lelkünket.
kell	intervening		El kell viselnie	ezt az undorító szagot.
kell	intervening		Meg kell bizonyosodnunk	róla.
kell	intervening		Be kellett érnie	egy kezdővel.
kell	intervening		Meg kell várnunk	az utánfutós traktort.
kell	intervening	-	Meg kell akadályozni	ezt az esküvőt.
kell	intervening		Föl kellett egy kicsit pezsdítenem	a beszélgetésünket.
kell	intervening		Meg aztán be kell tartani	a sorrendet.
kell	intervening	-	El kellene válnod	Olgától.
kell	intervening	-	Föl kell adnod	a tiltakozásnak ezt a formáját.
kell	intervening	-	Meg kell akadályozni	ezt az esküvőt.
kell	intervening		Meg kell ölnöm	téged.
kell	intervening	-	El kell mondanom	neked valamit.
kell	intervening		Meg kellett fojtanom	.
kell	intervening		Meg kellett védenem	a munkámat.
kell	intervening		El kell fogadnunk	tehát a csehszlovákiai magyar irodalom egyetlen hasznos és valamirevaló irodalomtörténeti összefoglalójának.
kell	intervening		Szembe kell nézni	Bábi Tiborral.
kell	intervening		Meg kellett újítani	a lapot.
kell	intervening		Meg kell szívlelnünk	.
kell	intervening		El kellene jutnom	Pestre.
kell	intervening		Meg kell találniuk	egymást.
kell	intervening		Le kellene számolni	a múlttal.
kell	intervening		El kellene hoznom	a könyveket és a még Zs.-nél lévő holmikat.
kell	intervening		Ki kellene mászni	ebből a gödörből.
kell	intervening		Meg kell neki adni	.
kell	intervening		Vissza kell nekik majd adni	.
kell	intervening		Fel kellene hívnom	.
kell	intervening		Át kellene olvasni	.
kell	intervening		Meg kellene írni	a középső részét.
kell	intervening	-	Át kell gondolnom	az egészet.
kell	intervening		Fel kellene adni	.
kell	intervening		Ki kell bírnod	.
kell	intervening		Hozzá kell őt szoktatnom	a történtekhez...
kell	intervening		Át kell vészelnie	azt a néhány esztendőt.
kell	intervening		Meg kellett volna védenie	a lányokat.
kell	intervening		Ott kellett volna maradnom	.
kell	intervening		Ki kellene már nőni	végre a szocialista ünnepélyek szervezési módszereit.
kell	intervening		El kellene készítenie	a versenyszabályzatot.
kell	intervening		Fel kell figyelnünk	: a tragédia befejezését a szerző módosította.
kell	intervening		Meg kell érni	hozzá.
kell	intervening		Ki kell unatkozni	ezt a kegyelmet is.
kell	intervening		Meg kell elégednem	ezzel a felhős délutánnal.
kell	intervening		Le kellene gépelnem	egy táblázatot.
kell	intervening	“	Meg kell bele halnom	.
kell	intervening		Föl kell pumpálni	...
kell	intervening		Vissza kell mennem	.
kell	intervening		Meg kell magyaráznom	.
kell	intervening	“	Meg kell bele halnom	.
kell	intervening		Föl kellett néznem	a hegy oldalára.
kell	intervening		Le kellene fényképezni	a balatoni nyár jelképének.
kell	intervening		Meg kell történni	a gyerekraj megjósolt jövetelének is az Arno partján.
kell	intervening		Le kellett volna adnom	a lakásomat.
kell	intervening		Fel kellett nevelnünk	őket.
kell	intervening		Vissza kell mennem	.
kell	intervening	-	El kellene adni	ezt a kabátot.
kell	intervening	-	Össze kellene fognunk	.
kell	intervening		El kellett volna jönnöm	szó nélkül.
kell	intervening		Meg kell öregedni	...
kell	intervening		Észre kell venni	és megírni.
kell	intervening		Oda kell figyelnünk	a szervezetünkre.
kell	intervening		Meg kell érteni	a világot.
kell	intervening		Meg kell javítanunk	a biztosítékot.
kell	intervening	-	Ki kellett szednem	a parazsat.
kell	intervening	-	Meg kell próbálni	megértetni magunkat.
kell	intervening		Be kell számolnom	még a falakról.
kell	intervening		Ki kellene mennem	a tűzhöz...
kell	intervening		Le kellene ülni	a tövükbe és nézni őket.
kell	intervening		Meg kell írni	.
kell	intervening		Meg kell állnom	és egyenként levadászni a szúnyogokat.
kell	intervening		Be kellene szorozni	hattal.
kell	intervening		Bele kell passzírozni	egy mondatba...
kell	intervening	-	Be kell menni	az agronómusért.
kell	intervening		Ki kellene cserélni	valamennyit cementvályúra.
kell	intervening		Meg kell szervezni	az asszonybrigádot...
kell	intervening		Meg kellett mondanom	.
kell	intervening		Meg kellene egyszer mosni	...
kell	intervening		Át kell szerződnöd	a MAHART sportklubjába.
kell	intervening		El kell fogadnom	...
kell	intervening		Meg kell fürödnöm	...
kell	intervening		Össze kellett rakni	.
kell	intervening		Meg kellett ugye élni	.
kell	intervening		El kellett háromszor játszanom	nekik.
kell	intervening		Ki kell bírnom	...
kell	intervening	-	Be kell vallanom	.
kell	intervening		Be kellene hatolnunk	az ön pszichéjébe.
kell	intervening	-	Meg kell mondanom	valamit...
kell	intervening		Ki kőne üket hallgatni	...
kell	intervening		Meg kell érteni	.
kell	intervening		Meg kellene nyernünk	a csatát...
kell	intervening		Meg kell feszíteni	az arcot...
kell	intervening		El kell mennem	.
kell	intervening		Meg kell halnom	.
kell	intervening		Meg kellett védeni	a hazát az intervenciós hadaktól...
kell	intervening		Be kell kapcsolódnunk	végre Európa vérkeringésébe.
kell	intervening		El kellett utaznunk	egy hétre.
kell	intervening		Ki kell bírnom	...
kell	intervening		El kellett költöznöm	a pártházból egy albérletbe.
kell	intervening		Át kellene kutatnom	a hídfő alatt az egész terepet...
kell	intervening		El kell találni	a szívet vagy a tüdőt.
kell	intervening		Meg kell köszönnöd	még az ételt.
kell	intervening	-	El kell mennem	.
kell	intervening		Vissza kell mennem	.
kell	intervening		El kellene küldeni	szépségversenyre...
kell	intervening		Ki kellene néznem	...
kell	intervening		Alá kell merülnöm	.
kell	intervening	-	El kell vinned	még a cikláment.
kell	intervening	-	Át kellene menni	a Liget másik felébe.
kell	intervening		Fel kell szívódni	valahol a házak között a semmiben.
kell	intervening	-	Meg kellett fürödnöm	.
kell	intervening	-	Fel kellene súrolni	ezt a padlót.
